Relationship Name,From Table,From Column,To Table,To Column,Is Active,Type,Cross Filtering
dd18743d-eaa7-e06f-01c3-827aa9836449,dimSalesOrder,FK AddressId,dimAddress,PK Address (ID),TRUE,1,1
dde5f2cc-217d-d23a-2ef9-6c995d712c5a,dimPurchaseOrder,FK Supplier,dimSupplier,PK Supplier (CD),TRUE,1,1
e0757004-96ad-432a-af89-88e72fc223ba,fctSupplierInvoiceLineExt,FKSegment1ID,dimSegment 1,PK Segment 1 (CD),TRUE,1,1
e293a34e-c6e7-41e5-815c-6159a5e05215,dimSupplierInvoice,FK Supplier (CD),dimSupplier,PK Supplier (CD),TRUE,1,1
e74cc91c-8656-4bf9-b031-04411520e19a,fctSupplierInvoiceLineExt,FKSegment10ID,dimSegment 10,PK Segment 10 (CD),TRUE,1,1
ea061146-a00d-4d78-baa9-9175ee02266f,fctSupplierInvoiceLineExt,FKSegment7ID,dimSegment 7,PK Segment 7 (CD),TRUE,1,1
ea88adfd-4a12-437c-b2c7-bdc0f39d0ef4,fctCustomerInvoiceLineExt,FK CustomerInvoice,dimCustomerInvoice,PK CustomerInvoice,TRUE,1,1
edfa81c8-9b99-928c-6c03-458d189d9b4c,fctSalesOrderLineExt,FKSegment5ID,dimSegment 5,PK Segment 5 (CD),TRUE,1,1
f1016a7c-fe72-4f64-9f44-409017449d72,fctSupplierInvoiceLineExt,FKSegment6ID,dimSegment 6,PK Segment 6 (CD),TRUE,1,1
f3a92fe4-4222-4bf3-8cee-8b0e394b4bba,dimCustomerInvoice_Attachment,PK CustomerInvoiceAttachment,dimCustomerInvoice,PK CustomerInvoice,TRUE,1,2
f5fe61e8-3357-45ef-8fb9-e2ce0f3cb144,fctCustomerInvoiceLineExt,FKSegment3ID,dimSegment 3,PK Segment 3 (CD),TRUE,1,1
ff5fc6eb-52f9-0619-5590-d42890c5d04d,fctPurchaseOrderLineExt,FK InventoryNumber,dimInventory,PK InventoryNumber,TRUE,1,1
